mc_run_id,diet_group,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants
1,fish,5.594817168333333,8.896072832083334,17104.080335000002,25.408603609166665,1.1560966869166667,0.33527121983333336,462.09829379166666,746.270449925,25.275467996666666,1.9842644164166667,3.586277432416667,7100.6984375833335,9.499062410833334,0.609839409,0.13025977708333333,269.0683187916666,322.2478525166667,8.513382338416667,8123
1,meat,8.307692948333333,16.68787216666667,18972.084244166665,33.078009182500004,1.7870957465833335,0.5553173285833334,443.91336865833335,775.07572135,35.32229670833333,2.4221124539166667,7.569008550916667,6178.295821666667,8.118129853083333,0.6427558513333334,0.1596064295,212.10066314166667,244.1853754916667,8.2354694885,11971
1,meat100,13.035627103333333,31.17910027083333,22773.1609475,45.42429707416667,2.8345043325833337,0.8800217902499999,508.09671177499996,902.520397075,49.183082049999996,4.609540258833333,15.758477309999998,6737.080379166667,12.144120978333333,1.083369632,0.27224402366666667,215.11944759166667,252.78566455,12.530805634166667,8286
1,meat50,6.25848157,11.000772163333332,16707.62566083333,26.799847185,1.3609795698333331,0.39363292775,430.8178702,705.3336130666667,28.250045410833334,1.8485899681666667,3.90299628625,6451.257431666666,7.939643472583334,0.54624438325,0.13173901925,235.41996744166667,258.260628325,7.986806353833334,9332
1,vegan,2.7855169367499997,4.999549412416667,15178.693201666667,14.9338228975,0.15945787183333335,0.20129304308333332,121.16426949166667,533.1444218416667,13.501747401666668,1.1066164086666668,2.0882795894166666,8466.089956333333,8.347331591416667,0.19284957958333335,0.08377648541666667,78.62113699083334,336.2564018416667,6.046202561249999,2041
1,veggie,5.185302004916667,8.903950043166667,14354.726382499999,20.387885226666665,1.14862491475,0.3115769471666667,493.28755935,613.5328588083333,22.810286685833333,2.0566556689166666,3.73816256525,6754.7392543333335,7.296342618166666,0.6847455229166667,0.13337438225,311.02636087499997,259.88824479166664,8.24398204375,15751
2,fish,4.682784320083333,7.19547265675,16770.680235833333,24.589597376666664,0.7638260481666667,0.3241833511666667,274.28975826666664,837.72051325,24.01581389,1.5180700722500002,2.396806784416667,5882.17727875,9.184460024833333,0.35264416141666666,0.1581521695,144.78695011666667,463.107985475,8.403729692416666,8123
2,meat,6.3994572175833335,9.79989324575,19695.597354166664,33.33659302333333,1.3730785935833334,0.46938767108333335,299.1490613583333,951.1688250000001,32.27795696083333,1.4562053706666667,2.71381453975,5129.114302833334,8.238990424666666,0.44101353025,0.18086381524999998,137.961241875,402.88146125833333,8.280955571416667,11971
2,meat100,8.869141455666666,14.43025912,26004.837655,45.73933385833333,2.1963550096666666,0.7146264580833334,339.7568722416667,1128.21738775,40.02323421416667,2.2294628801666665,4.676971649833333,7142.254493416666,12.472883746666668,0.78562853175,0.2624091520833333,139.065319225,413.65986025,9.908665576,8286
2,meat50,5.084988249833334,7.841940031416667,16964.262687500002,26.499223599999997,0.9832608243333333,0.3577021675,277.4074919083333,833.2894148416667,26.4376646775,1.4244845821666665,2.3853335468333334,5216.423946583333,7.95365661725,0.34844339683333336,0.15270973025,141.41976725833334,417.9961430916667,7.950462085999999,9332
2,vegan,2.8174184860833336,5.72265713075,10763.212192583333,13.97934455,0.16217538675,0.2194487076666667,236.41567195833332,309.2257950333333,12.078237984166668,1.1135197116666666,2.4089855510833336,4616.425993916667,6.984180373416667,0.164407144,0.12828214733333335,168.35759865833333,136.76715583749998,5.361178232,2041
2,veggie,4.067195295166667,6.92911452,13895.709552499999,18.7123833925,0.6608059281666666,0.2989776905,264.21969038333333,463.09677494166664,21.120103709166667,1.3922609540833333,2.40759204625,4915.181274166666,6.445690929416667,0.3429219589166667,0.16052667858333333,147.55597519166668,163.967607175,7.9889332135833335,15751
3,fish,5.15174944175,6.98859599575,17746.82820583333,19.9858815075,0.94194944375,0.42831239875,290.7465935166667,952.4212232333333,23.8454115025,1.7976316514166666,2.3855374780000003,7237.105765916666,6.8742256855,0.47242624608333333,0.14977463124999998,142.82598120833333,473.0907913416666,8.163643242583333,8123
3,meat,6.533017629,9.118085040083333,18225.4135675,24.3648803775,1.4372038620833332,0.5939891219166668,297.01849498333337,959.4522479833332,32.8200137175,1.5843368785833334,2.3496208202499997,6289.128667666667,6.1776120460833335,0.47221779658333335,0.16575940591666669,132.72248562500002,405.6874686916667,7.541201273583333,11971
3,meat100,8.582185695249999,12.5510126775,20624.643835,31.356401551666664,2.08406946375,0.8212000308333334,334.4328505583333,1013.1417237666666,44.22496236,2.0882622141666665,3.42354889525,6350.023056666666,7.588237521833332,0.6841315243333334,0.230690939,143.55277776666665,389.21266556666666,10.554786129583333,8286
3,meat50,5.452463117666667,7.436630736833333,17002.045165,20.614961635833335,1.1189470019999999,0.47309224883333334,280.11194770833333,905.0129237833333,26.467158785833334,1.6511212161666666,2.27120143825,6947.68291325,6.282700679833333,0.44976722025,0.1521436215,139.794791075,422.36038499166665,7.6821034625,9332
3,vegan,2.3179956590833335,4.5834092853333335,14642.792458333335,10.015339973583332,0.16579524533333334,0.23589031791666668,116.539163725,606.6867371333334,11.614675347499999,1.0353778295,2.0453793208333333,7963.110243499999,3.581836929666667,0.26456638266666666,0.09691410508333333,100.26957012333332,387.9205061333334,4.624933749833333,2041
3,veggie,4.46424709375,6.72160615375,16344.410108333332,16.838453146666666,0.8787068531666667,0.38722615899999996,283.05859795,671.4331980916667,21.444960295833337,1.7466300483333335,2.4492517685,8004.160573416666,6.1073964964166665,0.49526952133333335,0.15149399208333333,153.40643354166667,353.0891836916667,8.078587865583334,15751
4,fish,4.678545617166667,6.204453140916667,18745.5462225,18.9187393025,0.85566363075,0.3764597239166667,196.88978663333333,965.3690736416667,22.3738523725,1.5854033880833331,1.9327735198333336,7591.06058425,6.564322203166667,0.38093782091666667,0.17454321350000002,111.35765062833333,542.2350653249999,8.012966659666667,8123
4,meat,6.405354230666667,9.15639412175,18138.250859166666,31.700127895833333,1.2821876195,0.5043269465833333,265.88290962499997,957.1332074583333,35.754266951666665,1.50195641275,2.304710610166667,6990.9859667499995,9.161312205416666,0.3791292394166667,0.18144927700000002,118.69218094166666,414.465371125,7.833221731416667,11971
4,meat100,8.573498591,13.060612258333334,19918.017006666665,45.659943516666665,1.8363415684166666,0.7255699944166666,330.22085880833333,1027.14204575,49.605872158333334,2.05017662425,3.8041803024166665,7129.8749136666665,18.800664144166664,0.5627250879166666,0.24049009558333334,135.11859453333332,398.72507085,12.5339354125,8286
4,meat50,5.104875866666666,7.12000787725,17930.1584825,23.915089741666666,1.0077805018333332,0.40204180916666665,217.66610601666665,906.579033225,27.080153962500003,1.4937782124999999,1.9658802836666667,7387.2378905000005,6.6876241463333335,0.3533513408333333,0.16478095208333335,111.82699906916667,426.6055435583333,7.6807365076666665,9332
4,vegan,2.5283771805833335,4.719384849416667,11350.324481666668,9.424135555166666,0.16997543208333332,0.22902922108333335,123.732048425,621.8193590666666,9.70653438625,1.001521879,1.8484737967499998,6269.322827749999,4.81385185075,0.18406325508333332,0.14003680766666668,102.31829156833334,541.1628858,4.636249365916666,2041
4,veggie,3.9100531281666666,5.812114643166667,16798.89973166667,15.072131360833334,0.7665116994166666,0.34360533224999995,182.02035891666665,654.8756687416667,19.590140729999998,1.3971644688333333,1.8629073115833332,7424.651280583334,5.12233441075,0.3875994076666667,0.17583334666666664,120.78023210833334,359.9257969166667,7.649270849083333,15751
5,fish,4.806658082416667,6.689306859999999,13003.66408,24.408620618333334,0.7858512967500001,0.36667095,306.2686206,540.732486575,24.10270445333333,1.5585308055833333,2.4557432005,5333.592790083333,8.510952722083333,0.34825992775000003,0.13244162558333333,129.681655275,209.3304531,8.104879739916667,8123
5,meat,7.507237798833334,14.799181843333335,16195.497110833334,31.88313118083333,1.4557974292500002,0.5784579961666666,328.29102056666665,655.4129863583333,32.75689119166667,2.2952973746666667,7.425497095833333,5117.285957166667,7.84518006875,0.5016474419166667,0.15048683541666666,120.99868078416667,185.22186690833334,8.069419896833333,11971
5,meat100,12.07445155,29.497623145833334,19551.715685,44.325023497500005,2.447056474916667,0.8885735835,375.52306065,781.7159967833333,45.71534831333333,4.633475600833333,16.195456780833336,5660.983066083333,12.698175891666667,0.9775240375833333,0.27159031175,123.87035459166667,211.10066956666665,12.191489395,8286
5,meat50,5.543257355416666,9.058636863416668,13608.541711666667,25.80607603916667,1.0262374651666668,0.42842567675000004,310.30497959999997,555.6309318916666,26.5116639475,1.5579303718333335,3.3018332128333334,4935.043024,7.313413317916667,0.3502504899166667,0.12701120616666667,126.71725192499999,184.579353825,7.729190029083334,9332
5,v,3.944586895,5.817052033,9861.682585,18.75019775,0.690726888,0.306978442,264.0638299,375.0554454,20.20710071,1.345902021,2.276200349,4105.184204,6.063657713,0.314424906,0.118227419,122.1642721,129.8180905,7.397208554,3752
5,vegan,2.595135457,5.034935023916667,7365.786689083333,14.927209514166668,0.1518325825,0.24942022183333334,252.31340156666667,223.62090363333334,12.3791113325,0.9813752380833334,1.8339268826666668,3672.4310813333336,6.968177897333334,0.13613416116666666,0.09602639266666667,144.18085006666666,103.23004901666667,5.09625167975,2041
